PLAYER_NAME,TEAM_NAME
Ball unpossessed,NBA
Left hoop,NBA
Right hoop,NBA
Kevin Garnett,Minnesota Timberwolves
Kobe Bryant,Los Angeles Lakers
Tim Duncan,San Antonio Spurs
Vince Carter,Memphis Grizzlies
Dirk Nowitzki,Dallas Mavericks
Paul Pierce,LA Clippers
Andre Miller,Minnesota Timberwolves
Jason Terry,Houston Rockets
Metta World Peace,Los Angeles Lakers
Manu Ginobili,San Antonio Spurs
Mike Miller,Denver Nuggets
Jamal Crawford,LA Clippers
Tyson Chandler,Phoenix Suns
Pau Gasol,Chicago Bulls
Joe Johnson,Brooklyn Nets
Richard Jefferson,Cleveland Cavaliers
Zach Randolph,Memphis Grizzlies
Tony Parker,San Antonio Spurs
Chris Andersen,Miami Heat
Drew Gooden,Washington Wizards
Nene,Washington Wizards
Amar'e Stoudemire,Miami Heat
Caron Butler,Sacramento Kings
Tayshaun Prince,Minnesota Timberwolves
Matt Barnes,Memphis Grizzlies
Rasual Butler,San Antonio Spurs
Luis Scola,Toronto Raptors
LeBron James,Cleveland Cavaliers
Carmelo Anthony,New York Knicks
Chris Bosh,Miami Heat
Dwyane Wade,Miami Heat
Chris Kaman,Portland Trail Blazers
Kirk Hinrich,Chicago Bulls
Nick Collison,Oklahoma City Thunder
David West,San Antonio Spurs
Boris Diaw,San Antonio Spurs
Kendrick Perkins,New Orleans Pelicans
Leandro Barbosa,Golden State Warriors
Steve Blake,Detroit Pistons
Zaza Pachulia,Dallas Mavericks
Matt Bonner,San Antonio Spurs
Mo Williams,Cleveland Cavaliers
James Jones,Cleveland Cavaliers
Kyle Korver,Atlanta Hawks
Udonis Haslem,Miami Heat
Dwight Howard,Houston Rockets
Shaun Livingston,Golden State Warriors
Devin Harris,Dallas Mavericks
Luol Deng,Miami Heat
Andre Iguodala,Golden State Warriors
Kris Humphries,Washington Wizards
Al Jefferson,Charlotte Hornets
Josh Smith,LA Clippers
Josh Smith,Houston Rockets
JR Smith,Cleveland Cavaliers
Jameer Nelson,Denver Nuggets
Tony Allen,Memphis Grizzlies
Kevin Martin,Minnesota Timberwolves
Sasha Vujacic,New York Knicks
